FAM-MGB Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
,,bActin,Gapdh,HPRT1,UBC,TBP,YWHAZ,Tubb3,MAPT,NeuroD1,Sox1,FoxG1,Pax6,Tbr2,Emx2,Sp8,Sox5,Cux2,Bhlhb5,Lmo4,Emx1,Couptf1,Cux1,Satb2,Fezf2,Otx1,Ctip2,Tbr1,Brn2,Myt1l,Ascl1,Ngn2,vGlut1,vGlut2,GAD1,GFAP,Col1a1,LINE1 5UTR,LINE1 ORF1,WPRE,Albumin,NTC1,NTC2,NTC3,NTC4,NTC5,NTC6,NTC7,NTC8
21,MNgn2_4,20.11309948,7.094092012,16.4133073,9.887828907,15.8624696,10.15215797,15.79628299,27.89865654,14.82175001,16.56754247,34.54954191,33.01954945,29.21317726,26.21504194,14.41192036,13.90342435,27.95782074,16.83122307,11.27772247,31.19388885,13.7486587,10.45102001,15.86655888,31.01451093,37.97510993,29.36547882,30.8053362,25.28546359,29.91265878,28.25311854,15.2121173,32.4658147,29.56520647,29.85220141,28.36242192,7.117408924,6.244601329,4.505712341,6.929456057,13.05533176,25.68811658,29.43846225,28.77136705,27.99513517,25.50045506,23.21692935,20.86037633,21.51360198
27,MNgn2_5,999,12.97308881,37.47274947,14.81917153,999,999,40.27704821,999,57.73395265,999,999,999,999,999,999,999,51.08944339,58.24323807,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,12.52058148,12.00115522,8.860799748,999,999,999,999,999,999,999,999,999,999
33,MNgn2_6,19.97271674,7.350617908,13.49383447,7.948448427,13.57743909,7.794395361,11.1919754,21.06334551,22.19144964,25.87356683,22.9752267,22.34683055,25.01238815,25.79676875,25.83617404,24.92771129,25.90479185,23.00557933,9.612696583,24.25737187,10.06499124,10.46529506,23.82705087,26.92190182,28.87227584,26.73693847,29.86703192,26.21397253,28.10674585,25.63153718,26.34524931,30.19486937,26.29231821,26.70112734,25.8570206,6.129044816,9.14105084,6.565240123,6.322589793,25.00879194,999,999,999,999,999,999,999,999
39,MNgn2_7,19.28520735,7.32063972,15.7261274,8.692947796,14.65435808,8.400810194,14.01993901,15.54996268,17.41557212,14.29305067,12.33630185,25.53403976,28.4136613,31.94703612,15.30415537,14.05803906,28.47777861,22.00696594,10.75404993,999,11.03977179,10.41418132,39.51145138,32.9279204,999,34.11840586,39.44877287,17.03138826,34.35816209,35.26418461,20.94205469,999,32.24741266,999,37.14975947,6.046287628,6.058982147,4.271972844,7.746983946,13.00330188,34.76304903,999,999,999,999,999,999,999
45,MNgn2_8,52.33707752,10.17221144,999,9.446364323,999,10.4711887,14.02164967,999,999,999,999,999,999,999,999,24.83341355,999,999,18.02747945,999,12.64575675,999,999,999,999,999,999,999,999,999,999,999,999,999,999,8.252421019,11.24540497,8.235582787,14.90781865,999,999,999,999,999,999,999,999,999
4,BMF_1,9.405966543,6.394044304,9.09171415,7.050424891,8.943503423,8.031985782,8.409030645,8.952369421,9.277300845,9.585915621,9.403597031,9.266651523,9.07690769,9.295621569,9.174436376,9.030124361,9.612954147,9.289113896,8.330012397,9.305141485,7.96917245,8.843934362,9.146184439,9.290783119,9.135837099,9.162407284,9.412107748,9.217137539,9.416719021,9.324621584,9.136106953,9.094341873,9.078826563,9.239016213,9.5068159,8.241548031,7.254273946,6.864859926,6.343885962,9.108056427,9.832807125,9.533663134,9.653577854,9.500755573,9.580235609,9.291904741,9.405040277,9.823610292
10,BMF_2,999,8.8656032,999,11.41103003,16.08249775,14.26480593,999,999,999,999,999,999,36.41499944,999,14.83198597,999,999,14.71511342,13.23147185,999,13.14066743,16.22794279,999,999,999,999,999,999,999,999,999,999,999,999,999,9.30664254,8.489438248,5.725999406,10.01742966,999,999,999,999,999,999,999,999,999
16,BMF_3,42.50068245,7.369362923,999,11.72747494,31.59404406,9.659968071,16.43673056,17.94301239,17.22788949,21.48270897,21.75326946,19.99730324,19.22717395,16.33079695,16.15460229,15.68882743,12.95606632,15.97020293,15.18852916,16.91234616,16.52812862,11.32364427,17.75168457,21.80221274,22.21426972,19.146881,18.34221758,17.16442002,17.39928885,16.87623251,18.08944926,23.56028793,20.30919485,21.52653286,21.82294997,11.05717678,11.2645755,9.844865013,6.980963563,22.19592786,999,999,999,999,999,999,999,999
22,BMF_4,999,7.96548411,14.84221282,9.265602679,999,10.69320818,11.40576304,999,999,999,999,999,999,999,999,14.20533084,999,999,12.41755101,999,10.61994167,11.46844526,16.56726092,999,999,999,999,999,999,999,999,999,999,999,999,7.108086681,11.5433467,8.585814993,7.743439145,999,999,999,999,999,999,999,999,20.73661863
28,BMF_5,999,6.590412381,15.91375444,8.945953299,15.68695405,11.27547185,13.94895025,33.10511534,28.13618437,999,999,999,33.08929488,36.77715558,34.46709339,43.54837869,29.61941205,30.01233288,11.28196231,30.78215151,12.58693318,11.96287049,999,999,999,999,999,999,999,999,41.4388735,999,999,999,999,6.412371008,10.58044081,7.124246584,8.416506791,999,999,999,999,999,999,999,999,999
