Chip Run Info,D:\PCR DATA\Goran\01072014 HSC ss5 MS\ChipRun.bml,1361898495,96.96 (136x),GE 96x96 Standard v2,ROX,FAM-MGB,7/1/2014 5:04:21 PM,01:31:10,BIOMARKHD151
Application Version,4.1.2
Application Build,20140110.1735
Export Type,Table Results
Quality Threshold,0.6
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Detectors)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,User
Chamber,Sample,Sample,Sample,Sample,FAM-MGB,FAM-MGB,FAM-MGB,Ct,Ct,Ct,Ct,Delta Ct Sample,Delta Ct Sample,Delta Ct Sample,Delta Ct Reagent,Delta Ct Reagent,Delta Ct Reagent,Delta Delta Ct,Delta Delta Ct,Delta Delta Ct,Delta Delta Ct,Defined
ID,Name,Type,rConc,Reference,Name,Type,Reference,Value,Quality,Call,Threshold,Value,Quality,Call,Value,Quality,Call,Value,Fold Change,Quality,Call,Comments
S96-A84,noRT,Reference,1,,THY1,Test,ref,24.3910645532055,0.813062252258881,Pass,0.0065164486298048,4.20596320129886,0.813062252258881,Pass,6.81961144679136,0.813062252258881,Pass,4.20596320129886,0.0541849797937667,0.813062252258881,Pass,
S96-A83,noRT,Reference,1,,Notch1,Test,ref,999,0,Fail,0.00529467926150921,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A82,noRT,Reference,1,,ITGB7,Test,ref,999,0,Fail,0.0092058463308281,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A81,noRT,Reference,1,,HOXA5,Test,ref,999,0,Fail,0.00604053731352747,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A80,noRT,Reference,1,,FLT3,Test,ref,999,0,Fail,0.0100339840136811,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A79,noRT,Reference,1,,CEACAM6,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A90,noRT,Reference,1,,Cdkn1c,Test,ref,999,0,Fail,0.00488845349121929,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A89,noRT,Reference,1,,CD86,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A88,noRT,Reference,1,,CD49f,Test,ref,999,0,Fail,0.0159430412820121,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A87,noRT,Reference,1,,CD33,Test,ref,999,0,Fail,0.0120626810533097,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A86,noRT,Reference,1,,CD151,Test,ref,999,0,Fail,0.0145099881811032,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A85,noRT,Reference,1,,CCNE1,Test,ref,999,0,Fail,0.0102196121843372,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A96,noRT,Reference,1,,VWF,Test,ref,999,0,Fail,0.00382006558225211,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A95,noRT,Reference,1,,Pu1,Test,ref,999,0,Fail,0.00638928502851184,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A94,noRT,Reference,1,,KIT,Test,ref,999,0,Fail,0.00699479270713429,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A93,noRT,Reference,1,,HOXB4,Test,ref,999,0,Fail,0.00524913885620777,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A92,noRT,Reference,1,,ref,Reference,,999,0,Fail,0.00547711740858932,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A91,noRT,Reference,1,,CEBPalfa,Test,ref,999,0,Fail,0.00479386673841566,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S06-A01,SS6,Unknown,1, ,ACE,Test,ref,16.1582473204842,0.929664285850316,Pass,0.00417469413939947,999,0,Fail,3.9822722251484,0.929664285850316,Pass,999,-1,0,Fail,
S06-A02,SS6,Unknown,1, ,Ccnf,Test,ref,999,0,Fail,0.00762680449631716,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S06-A03,SS6,Unknown,1, ,Cd162,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S06-A04,SS6,Unknown,1, ,CD34,Test,ref,14.492244363271,0.850943670652336,Pass,0.0110004302618243,999,0,Fail,2.31626926793515,0.850943670652336,Pass,999,-1,0,Fail,
S06-A05,SS6,Unknown,1, ,CD53,Test,ref,15.7244205168291,0.901889816234942,Pass,0.00961195006642353,999,0,Fail,3.54844542149322,0.901889816234942,Pass,999,-1,0,Fail,
S06-A06,SS6,Unknown,1, ,CD9,Test,ref,999,0,Fail,0.0131871627125278,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S06-A07,SS6,Unknown,1, ,CDKN2A,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S06-A08,SS6,Unknown,1, ,CSF3R,Test,ref,13.8935802333064,1,Pass,0.00739483819285099,999,0,Fail,1.7176051379706,0.940985217759941,Pass,999,-1,0,Fail,
S06-A09,SS6,Unknown,1, ,GATA1,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S06-A10,SS6,Unknown,1, ,HPRT,Test,ref,999,0,Fail,0.00798256174323489,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S06-A11,SS6,Unknown,1, ,Lin28B,Test,ref,999,0,Fail,0.00623241913871582,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S06-A12,SS6,Unknown,1, ,RAG2,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S06-A13,SS6,Unknown,1, ,AHR,Test,ref,17.5993645218188,0.946449646874421,Pass,0.0106856699938162,999,0,Fail,5.423389426483,0.940985217759941,Pass,999,-1,0,Fail,
S06-A14,SS6,Unknown,1, ,CCNG1,Test,ref,16.34646771953,0.797973835212896,Pass,0.00646031329530732,999,0,Fail,4.17049262419416,0.797973835212896,Pass,999,-1,0,Fail,
S06-A15,SS6,Unknown,1, ,CD165,Test,ref,21.9519485725723,0.87085844169751,Pass,0.00740489284862091,999,0,Fail,9.77597347723641,0.87085844169751,Pass,999,-1,0,Fail,
S06-A16,SS6,Unknown,1, ,CD35,Test,ref,999,0,Fail,0.00586561205902168,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S06-A17,SS6,Unknown,1, ,CD54,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S06-A18,SS6,Unknown,1, ,CD93,Test,ref,999,0,Fail,0.00678282059893852,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S06-A19,SS6,Unknown,1, ,CDKN2B,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S06-A20,SS6,Unknown,1, ,EBF1,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S06-A21,SS6,Unknown,1, ,GATA2,Test,ref,14.9533128431926,0.906266599388031,Pass,0.00532992442214292,999,0,Fail,2.77733774785674,0.906266599388031,Pass,999,-1,0,Fail,
