Chip Run Info,C:\Users\eva\Documents\PCR\Result\DB\Amol\Amol sc index sort (wt)\Index sort Plate-1 Amol\ChipRun.bml,1131292164,48.48 (113x),GE 48x48 Fast PCR+Melt v2,ROX,EvaGreen,2014-04-01 13:23:28,00:31:24,BIOMARKHD151
Application Version,4.1.2
Application Build,20140110.1735
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S03-A33,A9,Unknown,1,Hoxa9,Test,18.1493961681346,0,Fail,0.0120476876168541,999,77.7936653199521,0,
S03-A34,A9,Unknown,1,Jam2,Test,16.8928946789255,0,Fail,0.0120476876168541,999,999,0,
S03-A35,A9,Unknown,1,Myc,Test,11.5314481527997,1,Pass,0.0120476876168541,82.6701425334776,999,1,
S03-A36,A9,Unknown,1,Tcfe2a,Test,12.0037623323548,1,Pass,0.0120476876168541,83.3756600579887,999,1,
S03-A37,A9,Unknown,1,Dicer1,Test,15.1778765373028,1,Pass,0.0120476876168541,81.2173242465142,999,1,
S03-A38,A9,Unknown,1,Fgd5,Test,999,0,Fail,0.0120476876168541,999,999,0,
S03-A39,A9,Unknown,1,Hoxb5,Test,18.980079481453,0,Fail,0.0120476876168541,999,76.5926651135945,0,
S03-A40,A9,Unknown,1,Kit,Test,11.5049922126205,1,Pass,0.0120476876168541,79.7802656991565,999,1,
S03-A41,A9,Unknown,1,Pax5,Test,14.8142252141381,0,Fail,0.0120476876168541,999,74.2826541542542,0,
S03-A42,A9,Unknown,1,vwf,Test,16.6604072141802,0,Fail,0.0120476876168541,999,78.2570063744407,0,
S03-A43,A9,Unknown,1,Dnmt1,Test,10.8165604446023,1,Pass,0.0120476876168541,84.3338000246207,999,1,
S03-A44,A9,Unknown,1,Flt3,Test,23.4207034197969,1,Pass,0.0120476876168541,78.6625549115854,999,1,
S03-A45,A9,Unknown,1,hprt,Reference,10.9722029926658,1,Pass,0.0120476876168541,81.2015160610178,999,1,
S03-A46,A9,Unknown,1,Max,Test,15.8887793676609,1,Pass,0.0120476876168541,83.1048303404406,999,1,
S03-A47,A9,Unknown,1,Rag1,Test,14.2106689113096,0,Fail,0.0120476876168541,999,76.4693186031577,0,
S03-A48,A9,Unknown,1,zfp521,Test,14.8017289636692,1,Pass,0.0120476876168541,78.770646667406,999,1,
S47-A01,ref,Unknown,1,actin,Reference,14.5264760590078,1,Pass,0.0120476876168541,82.6233050345298,999,1,
S47-A02,ref,Unknown,1,Dnmt3a,Test,24.2116005131196,1,Pass,0.0120476876168541,81.7966013289667,999,1,
S47-A03,ref,Unknown,1,gapdh,Reference,16.1331234882138,1,Pass,0.0120476876168541,83.3018346681261,999,1,
S47-A04,ref,Unknown,1,Id1,Test,23.4706772017089,1,Pass,0.0120476876168541,86.1395250249167,999,1,
S47-A05,ref,Unknown,1,Mds1-Evi1_Cust,Test,999,0,Fail,0.0120476876168541,999,999,0,
S47-A06,ref,Unknown,1,Rag2,Test,25.8374049774313,1,Pass,0.0120476876168541,79.6431369783995,999,1,
S47-A07,ref,Unknown,1,Bmi1,Test,24.661345495069,1,Pass,0.0120476876168541,75.757088778731,999,1,
S47-A08,ref,Unknown,1,Dnmt3b,Test,25.5514924372744,1,Pass,0.0120476876168541,80.9477906579099,999,1,
S47-A09,ref,Unknown,1,Gata1,Test,24.2674719559341,1,Pass,0.0120476876168541,81.6286986637874,999,1,
S47-A10,ref,Unknown,1,Id2,Test,19.3943042426268,1,Pass,0.0120476876168541,80.2925941165591,999,1,
