EvaGreen Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
,,ERG,LDB1,TAL1,SIGLEC5,KLF4,HOXA4,CBFA2T3,LMO2,ETV6,FN3K,KLF11,ITGA2B7,FLI1,LYL1,CLNK,PAX5,CEACAM1-2,ITGA2B4,GATA1,MEIS1,LCK,CSF1R,ANXA2,AREG,GATA2,MITF,PLEK,PLOD3,JUN,FIGN,GFI1,NFE2,CSF2RB,CR1,HIST1H3A,Hsp-90,GFI1B,SPI1,IL7R,CD22,ABO,actin,HHEX,RUNX1,ID2,CST7, IL13RA1,CD34
32,Y112F2,11.9206466,13.26535108,13.71665418,999,999,14.62716859,16.59540753,13.81994555,12.1090503,999,999,999,12.0409551,14.35006844,999,999,999,16.64018416,999,14.12859002,26.15975298,999,999,999,14.94787295,999,14.361634,999,15.44905486,16.06535618,999,13.45041644,20.99049999,23.59890229,13.97862194,13.23518198,15.40544049,13.85890483,999,999,16.31573969,9.923209736,14.78830218,14.1689702,999,999,999,13.28565981
33,Y112F3,12.79041917,15.39743805,15.32124062,999,20.90908547,21.82257643,999,12.51866291,13.25399113,26.74142947,999,999,14.51878144,15.98821144,25.74453239,999,999,999,999,18.01006469,999,999,999,10.36215458,999,999,999,999,15.62774368,15.65649925,999,15.1793922,22.76557382,17.97030261,13.93593991,13.90693066,999,15.99940804,999,999,16.64459165,11.41702806,13.40003266,13.67584009,24.31573837,999,999,13.21606062
34,Y112F4,12.92834613,14.11383936,16.26751821,15.00536152,999,20.64380274,15.38486474,11.87848688,12.10563867,14.57317533,999,999,12.37437672,13.44920908,25.37800386,999,999,14.2495162,999,13.90377695,999,24.97147095,15.4681709,999,13.88551764,999,24.14108847,999,999,18.23842082,16.31910314,12.82515762,15.68457488,14.69373089,14.30613408,10.98570626,23.52696108,13.63250145,999,999,16.41771048,8.174117386,11.74665102,13.47147341,22.12932421,999,999,12.49096981
35,Y112F5,13.10982149,13.49177729,999,17.04760667,999,22.10851746,15.50903851,13.47724663,13.46724694,999,999,16.92780455,12.51481518,15.15063772,999,999,999,16.87692124,999,15.72728479,999,26.53756991,999,10.87885464,13.55370155,999,13.7431767,999,16.14534731,16.51149318,14.95554866,13.0897273,20.50013221,15.41920595,15.62143512,12.61410027,14.2891622,14.89245743,999,999,999,10.17560953,13.97002102,12.71548106,999,999,15.91389868,12.52608586
36,Y112F6,15.42829827,14.67547576,999,999,16.73605428,15.70509219,24.53897212,13.79642931,14.53447697,999,15.85101605,18.13565723,13.8347855,14.64334448,999,999,999,15.34674515,999,13.89257007,999,999,999,999,15.73621172,999,999,999,15.34728166,16.98987045,999,13.45123572,15.07486983,999,999,13.50931593,14.77890378,999,999,999,999,10.16515027,13.09198631,13.98258155,999,999,999,13.12441257
37,Y112G1,13.77295983,13.45205611,999,999,999,14.6078206,17.05091665,12.5227813,13.56768507,999,999,999,13.08682783,14.74801215,999,999,999,999,999,14.48276324,999,24.38553988,15.68063492,11.4075375,15.33309814,15.22215007,14.24634235,999,999,16.70095394,999,14.27514642,23.6238049,15.33216811,999,12.664737,999,16.14768474,999,999,999,9.242036017,14.17749979,13.77532574,15.11779798,999,999,12.89995335
38,Y112G2,12.09204822,16.63468651,15.53346536,999,999,16.54954703,15.78272917,14.49696842,12.93453151,999,999,17.05781966,14.57390853,14.90910228,999,999,15.64124259,22.95217521,999,16.12841024,999,24.89289364,999,11.78042086,14.56174923,999,15.526258,999,11.99559483,999,999,13.60383764,22.00850997,16.30832414,14.99206636,14.19362004,15.81888788,14.6881245,999,999,15.60501055,10.2824349,13.98298536,13.8333695,999,999,999,12.44777323
39,Y112G3,12.99502404,14.11641668,999,999,16.77550389,21.90452025,15.41145992,13.51967658,12.50562947,15.03877281,999,999,12.64840685,17.00665868,999,999,16.08503488,999,999,14.52166229,999,999,17.31889365,999,15.39574063,999,15.34389524,999,13.07643601,16.31836878,999,14.55856231,16.76974272,21.70535738,13.20573214,13.11329209,16.45597648,14.57246755,999,999,16.42011252,10.83371081,17.15845449,14.25098459,20.5078719,16.24440704,999,13.25595293
40,Y112G4,12.44863339,16.74047729,14.95730487,999,14.0732615,15.89667261,18.94115405,12.94948372,12.9764287,999,999,999,13.3369663,15.58413361,999,999,999,999,999,15.99777224,999,999,16.05620551,13.76131113,14.97454773,999,15.7178407,27.69475034,13.77778648,16.19575556,999,13.33381142,20.35752792,15.95331949,12.34852152,13.33631013,14.7223287,999,999,999,999,9.922195272,15.12241742,12.8559929,17.84155702,999,999,13.71424983
41,Y112G5,12.17226179,16.52279112,15.67173182,999,999,21.40581417,17.14372295,13.31809806,12.6193717,999,999,999,13.37547385,15.16206908,999,999,999,999,999,15.82270876,999,999,999,10.39129579,15.4803476,999,15.85885537,17.71489926,13.43653532,999,999,12.97850784,20.95960102,24.48173251,12.07244438,14.51150669,15.4784078,13.80184026,999,999,999,11.12399521,15.25525554,14.7813973,15.31074911,999,999,13.38681935
